Date,Text
,
7/22/19 23:22,b'@DearAuntCrabby @realDonaldTrump Love it..lol! Puts quite the picture in my head..lol'
,
7/22/19 23:22,b'@rolandscahill @realDonaldTrump Not yet... but that El Chapo money might help \xe2\x98\x9d\xf0\x9f\x8f\xbb'
,
7/22/19 23:22,"b""@realDonaldTrump You renovated. Remodeled. It's not a new wall. Understand?"""
,
7/22/19 23:22,"b'@RepStevenSmith @realDonaldTrump As we said in middle school, it takes one to know one.'"
,
7/22/19 23:22,b'@realDonaldTrump Is scraping the bottom of the barrel for help. https://t.co/BizPey9ncX'
,
7/22/19 23:22,b'@realDonaldTrump Pay no attention to the deceitful lies from the fake news. Nobody else does.'
,
7/22/19 23:22,"b'@realDonaldTrump Clearly not the same as building a new wall.  Did Mexico pay for it, liar?'"
,
7/22/19 23:22,b'@gingermae333 @harrisonjaime @realDonaldTrump Mccain was never a republican'
,
7/22/19 23:22,"b'@realDonaldTrump I love how you said, \xe2\x80\x9cwith no poisonous pills\xe2\x80\x9d Thanks for looking for us.'"
,
7/22/19 23:22,"b'@theoriginal_jz @realDonaldTrump That would be President. Even without respect for the person, please respect the o\xe2\x80\xa6 https://t.co/uYYINpaPsp'"
,
7/22/19 23:22,b'@realDonaldTrump The shovel was literally a groundbreaking invention'
,
7/22/19 23:22,b'@realDonaldTrump We want more miles of new wall or just replacing old stuff..\xf0\x9f\x99\x81'
,
7/22/19 23:22,"b'@Nostradonny @realDonaldTrump Obviously not, you and a box of rocks are still in the running for that title!'"
,
7/22/19 23:22,b'@realDonaldTrump I think that\xe2\x80\x99s called scheduled maintenance'
,
7/22/19 23:22,"b'@GOPChairwoman @realDonaldTrump If the GOP would stop lying about what\xe2\x80\x99s in the Mueller Report, the Dems wouldn\xe2\x80\x99t n\xe2\x80\xa6 https://t.co/289CrM1stL'"
,
7/22/19 23:22,b'@realDonaldTrump Really something how you got Mexico to pay for it too'
,
7/22/19 23:22,b'@realDonaldTrump Best President Ever\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n#JusticeIsComing \n#Declassify'
,
7/22/19 23:22,"b'@RaUL_AMDERLAINE @realDonaldTrump If they climb wall, its ok to shoot them. https://t.co/BX3zEaELVT'"
,
7/22/19 23:22,b'@realDonaldTrump #FakeFoxNews for a #FakePresident https://t.co/QnwhIedD0n'
,
7/22/19 23:22,b'@ExDemLatina @realDonaldTrump well if the shoe fits'
,
7/22/19 23:22,"b""@LydiaGuzman @realDonaldTrump Seeing it went up at this rate under Obama and the Democratic house approved it I'll\xe2\x80\xa6 https://t.co/M6lSTNpTaL"""
,
7/22/19 23:22,b'@ImaTXTrumpGirl @GenFlynn @realDonaldTrump @POTUS You\xe2\x80\x99ve been Q\xe2\x80\x99d! Congrats! https://t.co/lgTGA2vPeB'
,
7/22/19 23:22,b'@realDonaldTrump Pictures please!!!!!'
,
